"id","cest"
"450","17.082.00"
"451","17.083.00"
"452","17.084.00"
"453","17.085.00"
"454","17.086.00"
"455","17.087.00"
"456","17.088.00"
"457","17.089.00"
"458","17.090.00"
"459","17.091.00"
"460","17.092.00"
"461","17.092.01"
"462","17.093.00"
"463","17.093.01"
"464","17.094.00"
"465","17.094.01"
"466","17.095.00"
"467","17.095.01"
"468","17.096.00"
"469","17.096.01"
"470","17.097.00"
"471","17.097.01"
"472","17.098.00"
"473","17.098.01"
"474","17.099.00"
"475","17.099.01"
"476","17.100.00"
"477","17.100.01"
"478","17.101.00"
"479","17.102.00"
"480","17.103.00"
"481","17.103.01"
"482","17.103.02"
"483","17.104.00"
"484","17.104.01"
"485","17.104.02"
"486","17.105.00"
"487","17.105.01"
"488","17.105.02"
"489","17.106.00"
"490","17.106.01"
"491","17.106.02"
"492","17.107.00"
"493","17.107.01"
"494","17.107.02"
"495","17.108.00"
"496","17.108.01"
"497","17.108.02"
"498","17.109.00"
"499","17.109.01"
"500","17.109.02"
"501","17.110.00"
"502","17.111.00"
"503","17.112.00"
"504","17.113.00"
"505","18.001.00"
"506","18.002.00"
"507","18.003.00"
"508","18.004.00"
"509","19.001.00"
"510","19.002.00"
"511","19.003.00"
"512","19.004.00"
"513","19.005.00"
"514","19.006.00"
"515","19.007.00"
"516","19.008.00"
"517","19.009.00"
"518","19.010.00"
"519","19.011.00"
"520","19.012.00"
"521","19.013.00"
"522","19.014.00"
"523","19.015.00"
"524","19.016.00"
"525","19.017.00"
"526","19.018.00"
"527","19.019.00"
"528","19.020.00"
"529","19.021.00"
"530","19.022.00"
"531","19.023.00"
"532","19.024.00"
"533","19.025.00"
"534","19.026.00"
"535","19.027.00"
"536","19.028.00"
"537","19.029.00"
"538","19.030.00"
"539","20.001.00"
"540","20.001.01"
"541","20.002.00"
"542","20.003.00"
"543","20.004.00"
"544","20.005.00"
"545","20.006.00"
"546","20.007.00"
"547","20.008.00"
"548","20.009.00"
"549","20.010.00"
"550","20.011.00"
"551","20.012.00"
"552","20.013.00"
"553","20.014.00"
"554","20.015.00"
"555","20.016.00"
"556","20.017.00"
"557","20.018.00"
"558","20.019.00"
"559","20.020.00"
"560","20.021.00"
"561","20.022.00"
"562","20.023.00"
"563","20.024.00"
"564","20.025.00"
"565","20.026.00"
"566","20.027.00"
"567","20.028.00"
"568","20.029.00"
"569","20.030.00"
"570","20.031.00"
"571","20.032.00"
"572","20.033.00"
"573","20.034.00"
"574","20.035.00"
"575","20.036.00"
"576","20.037.00"
"577","20.038.00"
"578","20.039.00"
"579","20.039.01"
"580","20.040.00"
"581","20.041.00"
"582","20.042.00"
"583","20.043.00"
"584","20.044.00"
"585","20.045.00"
