"id","tipo","ncm","nacionalfederal","importadofederal","estadual","municipal","versao"
"137","0","3019590","13.45","19.14","17.00","0.00","16.2.B"
"138","0","3019911","13.45","15.45","17.00","0.00","16.2.B"
"139","0","3019912","13.45","15.45","17.00","0.00","16.2.B"
"140","0","3019919","13.45","15.45","17.00","0.00","16.2.B"
"141","0","3019991","13.45","19.14","17.00","0.00","16.2.B"
"142","0","3019992","13.45","19.14","17.00","0.00","16.2.B"
"143","0","3019999","13.45","19.14","17.00","0.00","16.2.B"
"144","0","3021100","4.20","9.89","7.00","0.00","16.2.B"
"145","0","3021300","4.20","9.89","7.00","0.00","16.2.B"
"146","0","3021400","4.20","9.89","7.00","0.00","16.2.B"
"147","0","3021900","4.20","9.89","7.00","0.00","16.2.B"
"148","0","3022100","4.20","9.89","7.00","0.00","16.2.B"
"149","0","3022200","4.20","9.89","7.00","0.00","16.2.B"
"150","0","3022300","4.20","9.89","7.00","0.00","16.2.B"
"151","0","3022400","4.20","9.89","7.00","0.00","16.2.B"
"152","0","3022900","4.20","9.89","7.00","0.00","16.2.B"
"153","0","3023100","4.20","9.89","7.00","0.00","16.2.B"
"154","0","3023200","4.20","9.89","7.00","0.00","16.2.B"
"155","0","3023300","4.20","9.89","7.00","0.00","16.2.B"
"156","0","3023400","4.20","9.89","7.00","0.00","16.2.B"
"157","0","3023500","4.20","9.89","7.00","0.00","16.2.B"
"158","0","3023600","4.20","9.89","7.00","0.00","16.2.B"
"159","0","3023900","4.20","9.89","7.00","0.00","16.2.B"
"160","0","3024100","4.20","9.89","7.00","0.00","16.2.B"
"161","0","3024210","4.20","9.89","7.00","0.00","16.2.B"
"162","0","3024290","4.20","9.89","7.00","0.00","16.2.B"
"163","0","3024300","4.20","9.89","7.00","0.00","16.2.B"
"164","0","3024400","4.20","9.89","7.00","0.00","16.2.B"
"165","0","3024500","4.20","9.89","7.00","0.00","16.2.B"
"166","0","3024600","4.20","9.89","7.00","0.00","16.2.B"
"167","0","3024700","4.20","9.89","7.00","0.00","16.2.B"
"168","0","3025100","4.20","6.20","7.00","0.00","16.2.B"
"169","0","3025200","4.20","9.89","7.00","0.00","16.2.B"
"170","0","3025300","4.20","9.89","7.00","0.00","16.2.B"
"171","0","3025400","4.20","9.89","7.00","0.00","16.2.B"
"172","0","3025500","4.20","9.89","7.00","0.00","16.2.B"
"173","0","3025600","4.20","9.89","7.00","0.00","16.2.B"
"174","0","3025900","4.20","9.89","7.00","0.00","16.2.B"
"175","0","3027100","4.20","9.89","7.00","0.00","16.2.B"
"176","0","3027210","4.20","9.89","7.00","0.00","16.2.B"
"177","0","3027290","4.20","9.89","7.00","0.00","16.2.B"
"178","0","3027300","4.20","9.89","7.00","0.00","16.2.B"
"179","0","3027400","4.20","9.89","7.00","0.00","16.2.B"
"180","0","3027900","4.20","9.89","7.00","0.00","16.2.B"
"181","0","3028100","4.20","9.89","7.00","0.00","16.2.B"
"182","0","3028200","4.20","9.89","7.00","0.00","16.2.B"
"183","0","3028310","4.20","9.89","7.00","0.00","16.2.B"
"184","0","3028320","4.20","9.89","7.00","0.00","16.2.B"
"185","0","3028400","4.20","9.89","7.00","0.00","16.2.B"
"186","0","3028500","4.20","9.89","7.00","0.00","16.2.B"
"187","0","3028911","4.20","9.89","7.00","0.00","16.2.B"
"188","0","3028912","4.20","9.89","7.00","0.00","16.2.B"
"189","0","3028921","4.20","9.89","7.00","0.00","16.2.B"
"190","0","3028922","4.20","9.89","7.00","0.00","16.2.B"
"191","0","3028923","4.20","9.89","7.00","0.00","16.2.B"
"192","0","3028924","4.20","9.89","7.00","0.00","16.2.B"
"193","0","3028931","4.20","9.89","7.00","0.00","16.2.B"
"194","0","3028932","4.20","9.89","7.00","0.00","16.2.B"
"195","0","3028933","4.20","9.89","7.00","0.00","16.2.B"
"196","0","3028934","4.20","9.89","7.00","0.00","16.2.B"
"197","0","3028935","4.20","9.89","7.00","0.00","16.2.B"
"198","0","3028936","4.20","9.89","7.00","0.00","16.2.B"
"199","0","3028937","4.20","9.89","7.00","0.00","16.2.B"
"200","0","3028938","4.20","9.89","7.00","0.00","16.2.B"
"201","0","3028941","4.20","9.89","7.00","0.00","16.2.B"
"202","0","3028942","4.20","9.89","7.00","0.00","16.2.B"
"203","0","3028943","4.20","9.89","7.00","0.00","16.2.B"
"204","0","3028944","4.20","9.89","7.00","0.00","16.2.B"
"205","0","3028945","4.20","9.89","7.00","0.00","16.2.B"
"206","0","3028990","4.20","9.89","7.00","0.00","16.2.B"
